timestamp,host,component,pid,message,proxy_anomaly_label
2025-09-28T07:48:03.512301+00:00,ubuntu-intern-vm,sshd-session,721017,pam_unix(sshd:auth): check pass; user unknown,0
2025-09-28T07:48:03.512710+00:00,ubuntu-intern-vm,sshd-session,721017,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=50.6.225.98 ,0
2025-09-28T07:48:05.733891+00:00,ubuntu-intern-vm,sshd-session,721017,Failed password for invalid user steam from 50.6.225.98 port 35028 ssh2,1
2025-09-28T07:48:07.271393+00:00,ubuntu-intern-vm,sshd-session,721017,Connection closed by invalid user steam 50.6.225.98 port 35028 [preauth],1
2025-09-28T07:48:10.484451+00:00,ubuntu-intern-vm,filebeat,671379,"2025-09-28T07:48:10.483Z#011INFO#011[monitoring]#011log/log.go:184#011Non-zero metrics in the last 30s#011{""monitoring"": {""metrics"": {""beat"":{""cgroup"":{""memory"":{""mem"":{""usage"":{""bytes"":-4096}}}},""cpu"":{""system"":{""ticks"":76970,""time"":{""ms"":11}},""total"":{""ticks"":222480,""time"":{""ms"":29},""value"":222480},""user"":{""ticks"":145510,""time"":{""ms"":18}}},""handles"":{""limit"":{""hard"":524288,""soft"":524288},""open"":13},""info"":{""ephemeral_id"":""cc35b61c-840e-45cc-8400-4d94ee797b3a"",""uptime"":{""ms"":263130113},""version"":""7.17.12""},""memstats"":{""gc_next"":20228128,""memory_alloc"":14308480,""memory_total"":22323194016,""rss"":50470912},""runtime"":{""goroutines"":49}},""filebeat"":{""events"":{""added"":11,""done"":11},""harvester"":{""open_files"":2,""running"":2}},""libbeat"":{""config"":{""module"":{""running"":1}},""output"":{""events"":{""acked"":11,""active"":0,""batches"":5,""total"":11},""write"":{""bytes"":9843}},""pipeline"":{""clients"":3,""events"":{""active"":0,""published"":11,""total"":11},""queue"":{""acked"":11}}},""registrar"":{""states"":{""current"":4,""update"":11},""writes"":{""success"":6,""total"":6}},""system"":{""load"":{""1"":0,""15"":0,""5"":0,""norm"":{""1"":0,""15"":0,""5"":0}}}}}}",0
2025-09-28T07:48:17.298339+00:00,ubuntu-intern-vm,systemd,1,docker-d29102bff39e8597d6d8bf53807b7f4f42588a13a34f2393e8ddd67c0c863ac7.scope: Deactivated successfully.,0
2025-09-28T07:48:17.302316+00:00,ubuntu-intern-vm,systemd,1,"docker-d29102bff39e8597d6d8bf53807b7f4f42588a13a34f2393e8ddd67c0c863ac7.scope: Consumed 5min 22.067s CPU time, 215.8M memory peak, 184.2M read from disk, 1.5M written to disk.",0
2025-09-28T07:48:17.387174+00:00,ubuntu-intern-vm,dockerd,502604,"time=""2025-09-28T07:48:17.385779973Z"" level=info msg=""ignoring event"" container=d29102bff39e8597d6d8bf53807b7f4f42588a13a34f2393e8ddd67c0c863ac7 module=libcontainerd namespace=moby topic=/tasks/delete type=""*events.TaskDelete""",0
2025-09-28T07:48:17.397751+00:00,ubuntu-intern-vm,containerd,611471,"time=""2025-09-28T07:48:17.396289115Z"" level=info msg=""shim disconnected"" id=d29102bff39e8597d6d8bf53807b7f4f42588a13a34f2393e8ddd67c0c863ac7 namespace=moby",0
2025-09-28T07:48:17.398285+00:00,ubuntu-intern-vm,containerd,611471,"time=""2025-09-28T07:48:17.396901793Z"" level=warning msg=""cleaning up after shim disconnected"" id=d29102bff39e8597d6d8bf53807b7f4f42588a13a34f2393e8ddd67c0c863ac7 namespace=moby",0
2025-09-28T07:48:17.400650+00:00,ubuntu-intern-vm,containerd,611471,"time=""2025-09-28T07:48:17.396919014Z"" level=info msg=""cleaning up dead shim"" namespace=moby",0
2025-09-28T07:48:17.444589+00:00,ubuntu-intern-vm,containerd,611471,"time=""2025-09-28T07:48:17.444410200Z"" level=warning msg=""cleanup warnings time=\""2025-09-28T07:48:17Z\"" level=warning msg=\""failed to remove runc container\"" error=\""runc did not terminate successfully: exit status 255: \"" runtime=io.containerd.runc.v2\n"" namespace=moby",0
2025-09-28T07:48:17.525042+00:00,ubuntu-intern-vm,systemd-networkd,706512,veth983eadf: Lost carrier,0
2025-09-28T07:48:17.547926+00:00,ubuntu-intern-vm,systemd-networkd,706512,veth983eadf: Link DOWN,0
2025-09-28T07:48:17.561560+00:00,ubuntu-intern-vm,systemd,1,run-docker-netns-787ccc915f64.mount: Deactivated successfully.,0
2025-09-28T07:48:17.573183+00:00,ubuntu-intern-vm,systemd,1,var-lib-docker-overlay2-d2d815e6add4535056f5faf07d6707c0ff6467d9150bc85ecd95f0581663a857-merged.mount: Deactivated successfully.,0
2025-09-28T07:48:19.489384+00:00,ubuntu-intern-vm,sshd-session,721085,Invalid user es from 50.6.225.98 port 43694,1
2025-09-28T07:48:19.569963+00:00,ubuntu-intern-vm,sshd-session,721085,pam_unix(sshd:auth): check pass; user unknown,0
2025-09-28T07:48:19.570528+00:00,ubuntu-intern-vm,sshd-session,721085,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=50.6.225.98 ,0
2025-09-28T07:48:21.655722+00:00,ubuntu-intern-vm,sshd-session,721085,Failed password for invalid user es from 50.6.225.98 port 43694 ssh2,1
2025-09-28T07:48:18.552141+00:00,ubuntu-intern-vm,systemd-networkd,706512,docker0: Lost carrier,0
2025-09-28T07:48:21.810660+00:00,ubuntu-intern-vm,sshd-session,721085,Connection closed by invalid user es 50.6.225.98 port 43694 [preauth],1
2025-09-28T07:48:35.307189+00:00,ubuntu-intern-vm,sshd-session,721099,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=50.6.225.98  user=root,0
2025-09-28T07:48:37.588135+00:00,ubuntu-intern-vm,sshd-session,721099,Failed password for root from 50.6.225.98 port 46148 ssh2,0
2025-09-28T07:48:39.853915+00:00,ubuntu-intern-vm,sshd-session,721099,Connection closed by authenticating user root 50.6.225.98 port 46148 [preauth],0
2025-09-28T07:48:40.484359+00:00,ubuntu-intern-vm,filebeat,671379,"2025-09-28T07:48:40.483Z#011INFO#011[monitoring]#011log/log.go:184#011Non-zero metrics in the last 30s#011{""monitoring"": {""metrics"": {""beat"":{""cgroup"":{""memory"":{""mem"":{""usage"":{""bytes"":-6156288}}}},""cpu"":{""system"":{""ticks"":76970,""time"":{""ms"":9}},""total"":{""ticks"":222490,""time"":{""ms"":21},""value"":222490},""user"":{""ticks"":145520,""time"":{""ms"":12}}},""handles"":{""limit"":{""hard"":524288,""soft"":524288},""open"":13},""info"":{""ephemeral_id"":""cc35b61c-840e-45cc-8400-4d94ee797b3a"",""uptime"":{""ms"":263160110},""version"":""7.17.12""},""memstats"":{""gc_next"":20228128,""memory_alloc"":17216768,""memory_total"":22326102304,""rss"":50208768},""runtime"":{""goroutines"":49}},""filebeat"":{""events"":{""added"":26,""done"":26},""harvester"":{""open_files"":2,""running"":2}},""libbeat"":{""config"":{""module"":{""running"":1}},""output"":{""events"":{""acked"":26,""active"":0,""batches"":8,""total"":26},""write"":{""bytes"":22171}},""pipeline"":{""clients"":3,""events"":{""active"":0,""published"":26,""total"":26},""queue"":{""acked"":26}}},""registrar"":{""states"":{""current"":4,""update"":26},""writes"":{""success"":8,""total"":8}},""system"":{""load"":{""1"":0,""15"":0,""5"":0,""norm"":{""1"":0,""15"":0,""5"":0}}}}}}",0
2025-09-28T07:48:51.164915+00:00,ubuntu-intern-vm,sshd-session,721120,Invalid user deploy from 50.6.225.98 port 48826,1
2025-09-28T07:48:51.245196+00:00,ubuntu-intern-vm,sshd-session,721120,pam_unix(sshd:auth): check pass; user unknown,0
2025-09-28T07:48:51.245618+00:00,ubuntu-intern-vm,sshd-session,721120,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=50.6.225.98 ,0
2025-09-28T07:48:53.391526+00:00,ubuntu-intern-vm,sshd-session,721120,Failed password for invalid user deploy from 50.6.225.98 port 48826 ssh2,1
